ID_BRAND,BRAND
1501,POPY MORENI
1502,PRADA SPORT
1503,PRECENSE
1504,PROGETTO GLAM
1505,PROJET COMMUN
1506,PROMOD
1508,PRONUPTIA
1509,PROTEST
1511,PSSSY
1512,PSY MONTE CARLO
1513,PUCCIO DEL DUCA
1514,PULL-IN
1515,PULL&BEAR
1516,PULSY GIRL
1517,PUMA RUDOLF DASSLER
1518,QUESTION DE PEAUX
1519,QUINZE
1520,QUINZE HEURES TRENTE
1521,RACING RUGBY
1522,RADO
1523,RAIMONTE
1524,Ramosport
1525,RAQUEL
1526,RARE
1528,RAW
1529,REBECCA SANVER
1530,REBEL HEART
1531,RECH SPORT
1532,REDSKINS
1533,REDWOOD
1538,Religion
1539,RENAST PARIS
1540,Rene Caovilla
1542,RENHSEN
1543,RENOMA PARIS
1544,RENOUARD
1547,RESPIRE
1549,RÊVANTIC
1550,RG 512
1551,RICHARD GAMPEL
1552,RIGHETTI
1553,RINASCIMENTO
1554,RIP CURL
1555,RISSKIO
1556,RIVALDI
1558,ROAYAL MER
1559,ROBERTA SCARPA
1560,ROBERTO BOTELLA
1561,ROBERTO DEL CARLO
1562,ROBERTO DURVILLE
1564,ROCKET DOG
1566,RODIKA
1567,ROECKL
1568,ROMAGNOLI
1569,ROMANELLI
1570,Romeo Gigli
1571,Rondini
1572,ROSA CHA
1573,ROSA TAPIOCA
1574,ROSEBUD
1575,ROSEMETAL
1576,ROSSETTI
1577,ROSSIGNOL BY JC CASTELBAJAC
1578,ROXY QUICKSILVER
1579,ROY FOURRURES
1580,RUCO LINE
1581,RUDY'S
1582,RUE PRINCESSE
1583,RUSTY
1584,RYKIEL
1585,SABATIER
1586,SAGA FOX
1587,SAGAIE
1589,SAINT HILAIRE
1590,SAINT MARTIN
1591,SALAMANDER
1592,SALSA
1593,Sam Rone
1594,SAMDRO FERRONNE
1595,SAMSONITE
1596,SAN MARINA
1597,SANCHE DE LA ROSA
1598,SANCHO
1599,SANDRA VALERI
1600,SANITA
1601,SARAH CHOFAKIAN
1602,SARAH PACINI
1603,SASIO (ANGLAISE)
1604,SATELLITE
1605,SAUTE MOUTON
1606,SAVE THE QUEEN
1607,SAX COUTURE
1608,SCAPA SPORTS
1609,SCARPA
1610,SCEE
1611,SCHERRER JEAN LOUIS
1612,SCHMOOVE
1614,SCHOOL RAG
1615,SCOOTER
1616,Scotch And Soda
1617,SEAFOLLY
1618,SÉDUCTA
1619,SEDUCTA PARIS
1620,SEE
1622,SEE U SOON
1623,SEGURA
1624,SEIDENSTRICKER
1625,SEIKO
1626,SENSATION
1627,Serafini
